model	original_text	simplified_text
run_0_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist ein schnell auftretender und kurzer psychischer Zustand, bei dem sich psychische Symptome zeigen, die ohne einen Vorläuferstadium auftreten und innerhalb von zwei Wochen ihren Höhepunkt erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Verwirrtheit, Ratlosigkeit oder Stimmungsschwankungen gehören. Katatonieähnliche Bewegungsstörungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem
run_1_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychische Krankheit ist durch das plötzliche Auftreten von psychischen Symptomen gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen ein
run_2_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist eine psychische Krankheit, die durch das plötzliche Auftreten psychischer Symptome gekennzeichnet ist, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als
run_3_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist ein schnell auftretendes psychisches Problem, bei dem psychotische Symptome auftreten, ohne dass zuvor ein Prodromalstadium vorhanden war. Diese Symptome können Wahnsymptome, Halluzinationen, Verwirrung, Ratlosigkeit, Störungen des Denkens oder der Stimmung sein. Es kann auch zu Bewegungsstörungen kommen, die wie eine Katatonie wirken. Die Symptome ändern sich schnell und von Tag zu Tag oder sogar innerhalb eines Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Diese Symptome sind nicht die Folge einer anderen Krankheit oder einer Substanz oder eines Medikaments, die das
run_4_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist ein plötzlich auftretendes psychisches Problem, das sich innerhalb von zwei Wochen in seiner Schweregrad entwickelt und bei dem es zu Wahnvorstellungen, Halluzinationen, Denkstörungen, Ratlosigkeit oder Verwirrung, Störungen des Affekts und der Stimmung sowie zu Bewegungsstörungen kommen kann. Diese Symptome ändern sich typischerweise schnell von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer einer Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Diese Symptome sind nicht ein Ausdruck einer anderen Krankheit oder auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem
run_5_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist ein psychotisches Krankheitsbild, das sich durch das plötzliche Auftreten psychotischer Symptome auszeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Verwirrung, Verlust der Kontrolle über die Denkweise oder Gefühle, Katatonieähnliche Bewegungsstörungen oder Ähnlichkeiten mit einer Katatonie gehören. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei
run_6_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist eine psychische Krankheit, die plötzlich auftritt und innerhalb von zwei Wochen ihren Höhepunkt erreicht. Zu den Symptomen können Wahnsymptome, Halluzinationen, Verwirrung, Ratlosigkeit oder Stimmungsänderungen gehören. Die Symptome ändern sich schnell und von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Krankheit beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Krankheit oder auf eine Substanz oder ein Medikament zurückzuführen. Diese Krankheit wird als erste Episode bezeichnet, wenn eine Person die Symptome aufweist, die die Anforder
run_7_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist ein psychischer Zustand, der durch das plötzliche Auftreten von psychischen Symptomen gekennzeichnet ist, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Verwirrung, Ratlosigkeit, Störungen des Denkens, der Affekte und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Mon
run_8_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist eine psychische Krankheit, die kurzfristig auftreten kann und sich innerhalb von zwei Wochen in ihrer Schweregrad erreicht. Zu den Symptomen können Wahnsymptome, Halluzinationen, Verwirrtheit, Ratlosigkeit oder Stimmungsänderungen gehören. Diese Symptome können sich schnell ändern, sowohl in ihrer Art als auch in ihrer Intensität. Die Dauer der Krankheit beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Krankheit oder auf die Wirkung einer Substanz oder eines Medikaments zurückzuführen. Für Menschen, die diese Symptome aufweisen, wird der Begriff „ak
run_9_BioMistral-7B-SLERP.Q4_K_M.gguf	Eine akute und vorübergehende psychotische Störung ist durch das akute Auftreten psychotischer Symptome gekennzeichnet, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Desorganisation des Denkens, Ratlosigkeit oder Verwirrung sowie Störungen des Affekts und der Stimmung gehören. Katatonieähnliche psychomotorische Störungen können vorhanden sein. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen einigen Tagen und einem Monat. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug). Akute und vorübergehende psychotische Störung, erste Episode sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für eine akute und vorübergehende psychotische Störung erfüllen, die aber noch nie eine ähnliche Episode erlebt haben. Akute und vorübergehende psychotische Störungen, mehrfache Episoden sollten zur Identifizierung von Personen verwendet werden, die Symptome aufweisen, die die diagnostischen Anforderungen für akute und vorübergehende psychotische Störungen erfüllen und die in der Vergangenheit ähnliche Episoden erlebt haben. 	Eine akute und vorübergehende psychotische Störung ist ein schnell auftretendes psychisches Geschehen, bei dem sich psychische Symptome zeigen, die ohne ein Prodromalstadium auftreten und innerhalb von zwei Wochen ihren maximalen Schweregrad erreichen. Zu den Symptomen können Wahnsymptome, Halluzinationen, Verwirrung, Störungen des Denkens, Ratlosigkeit oder Ähnliches gehören. Es kann auch zu Bewegungsstörungen kommen, die wie eine Katatonie wirken. Die Symptome ändern sich typischerweise schnell, sowohl in ihrer Art als auch in ihrer Intensität, von Tag zu Tag oder sogar innerhalb eines einzigen Tages. Die Dauer der Episode beträgt nicht mehr als drei Monate und liegt meist zwischen
