model	original_text	simplified_text
run_0_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Die Schizophrenie ist eine Krankheit, bei der Menschen über einen längeren Zeitraum eine spezielle Art von Verhalten zeigen, wie sie sich aussehen, sprechen und denken. Diese Menschen haben auch ein anderes Gefühl für die Welt und andere Menschen als andere Menschen. Sie können auch ein anderes Gefühl für ihre Gefühle haben und sich nicht so viel freuen oder trauern können wie andere Menschen. Sie können auch ein anderes Gefühl für ihre Überzeugungen haben und sich nicht so sicher sein können, was wahr ist und was nicht. Diese Menschen können auch ein anderes Gefühl haben, wenn sie mit anderen Menschen interagieren, und sie können sich nicht so gut mit anderen Menschen verstehen oder sich nicht so gut in Gruppen einfügen können wie andere Menschen. Diese Menschen können auch ein anderes Gefühl haben, wenn sie sich für sich
run_1_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Schizotype Störungen sind eine Art von Krankheit, bei der Menschen über einen längeren Zeitraum eine spezielle Art von Verhalten zeigen. Dieses Verhalten ist gekennzeichnet durch eine Art von Aussehen, Sprache und Verhalten, die nicht normal sind. Diese Menschen haben auch eine Art von Wahrnehmungsverzerrung, ungewöhnliche Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen. Sie haben oft auch ein schwieriges Zeitverständnis und können nicht gut mit anderen Menschen kommunizieren. Sie können auch ein wenig oder gar nicht das Gefühl haben, was andere Menschen denken oder fühlen. Diese Menschen können auch ein wenig oder gar nicht das Gefühl haben, was sie selbst denken oder fühlen. Sie können auch eine Art von Wahn haben, das ist eine Art von Vorstellung, die nicht real
run_2_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Die Schizophrenie ist eine Krankheit, bei der Menschen sich über einen längeren Zeitraum von mehreren Jahren in einer bestimmten Weise verhalten, sprechen und aussehen. Diese Art der Verhaltensweise ist nicht normal und kann sich auf die Denkweise und Wahrnehmung von Menschen auswirken. Menschen mit dieser Krankheit haben oft ungewöhnliche Überzeugungen, sind unbehaglich in sozialen Kontakten und haben Schwierigkeiten, sich zu äußern. Sie können auch schwere Gefühle wie Depression oder Anhedonie haben. Diese Krankheit kann Leiden und Einschränkungen in verschiedenen Bereichen des Lebens verursachen.
run_3_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Die Schizotypie ist eine Art von Verhaltensmuster, das über einen längeren Zeitraum von mehreren Jahren besteht. Es handelt sich dabei um eine Art von Verhalten, das etwas anderes als das normale Verhalten ist. Dieses Verhalten kann sich in der Aussehensprechweise, dem Verhalten und der Sprache zeigen. Daneben können auch andere Verhaltensweisen auftreten, wie beispielsweise Überzeugungen, die nicht mit der Wirklichkeit übereinstimmen oder ein ungewöhnliches Gefühl, dass andere Menschen gegenüber dir feindlich sind. Diese Verhaltensweisen können zu Leiden oder Beeinträchtigungen führen, etwa in der Familie, im Beruf oder bei der Ausbildung. Diese Leiden oder Beeinträchtigungen können sehr schwer sein und können auch zu
run_4_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Die schizotype Störung ist eine Krankheit, bei der Menschen über einen langen Zeitraum eine Art spezielle Art von Verhalten, Aussehen und Sprache haben, die sich von anderen Menschen unterscheidet. Diese Menschen haben auch eine Art von Verzerrung in ihrer Wahrnehmung oder ihren Gedanken, die sie nicht wahrnehmen oder nicht korrekt denken können. Sie haben auch einige Art von Überzeugungen oder Unbehagen, wenn sie mit anderen Menschen zusammenleben. Diese Menschen haben auch oft Schwierigkeiten, sich zu zeigen oder sich zu verhalten, was sie in ihrer Arbeit oder ihrer Schule beeinträchtigt. Sie können auch ein wenig oder gar nicht freudevoll sein, wenn sie etwas guten Gefühle haben. Sie können auch paranoide Gedanken oder andere psychotische Symptome haben,
run_5_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Die Schizotypie ist ein andauerndes Verhalten, das von einer Person über mehrere Jahre charakteristisch ist. Dieses Verhalten ist exzentrisch, was bedeutet, dass sie sich anders als andere Menschen aussehen, sprechen und sich verhalten. Sie haben auch kognitive und wahrnehmungsbezogene Verzerrungen, ungewöhnliche Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen. Sie haben auch eine eingeschränkte Fähigkeit, sich in zwischenmenschlichen Beziehungen einzubringen. Sie können auch ein eingeschränktes oder unangemessenes Gefühl haben oder keine Freude empfinden. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome können auftreten, aber sie sind nicht von ausreichender Intensität
run_6_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Schizotypie ist ein bis zu mehr als zehn Jahre anhaltendes Verhalten, das sich durch exzentrisches Aussehen, Sprache und Verhalten auszeichnet. Diese Menschen haben oft kognitive und wahrnehmungsbezogene Verzerrungen, ungewöhnliche Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen. Sie haben oft Schwierigkeiten, sich in zwischenmenschlichen Beziehungen einzufügen und können auch unangemessen oder eingeschränkt affektiert sein. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die Diagnostik einer Schizophrenie, Schizoaffektiven oder wahnhaften Störung zu erfüllen. Diese Symptome
run_7_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Die schizotype Störung ist eine Krankheit, bei der Menschen über einen längeren Zeitraum eine spezielle Art von Verhalten zeigen, die sich an ihrem Aussehen, Sprache und Denken ändert. Diese Menschen haben auch ein anderes Denken und Wahrnehmen sowie ungewöhnliche Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen. Sie können auch ein eingeschränktes Gefühl oder Interesse an Freude haben. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome können auftreten, sind aber nicht von ausreichender Intensität oder Dauer, um die Krankheitskriterien für Schizophrenie, Schizoaffektivität oder Wahnhaftigkeit zu erfüllen. Diese Symptome verursachen Leiden oder Beeinträchtig
run_8_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Die schizotype Störung ist eine Art von Verhaltensmuster, das über mehrere Jahre hinweg besteht. Es geht dabei um eine Art von Verhaltensmuster, das sich in der Aussehensweise, dem Sprachgebrauch und dem Denken zeigt. Diese Verhaltensmuster sind oft auch mit kognitiven und wahrnehmungsbezogenen Verzerrungen verbunden. Das bedeutet, dass Menschen mit dieser Störung ihre Umgebung oft anders sehen als andere Menschen. Sie haben auch oft ungewöhnliche Überzeugungen und Gefühle. Diese Menschen haben oft auch Schwierigkeiten, zwischenmenschliche Kontakte zu halten. Sie können auch ein eingeschränktes Gefühl für Freude haben oder sich nicht genug aufgehalten haben. Paranoide Gedanken oder andere psychotische
run_9_BioMistral-7B-SLERP.Q4_K_M.gguf	Die schizotype Störung ist gekennzeichnet durch ein andauerndes (d. h. für die Funktionsweise der Person über einen Zeitraum von mindestens mehreren Jahren charakteristisches) Muster von exzentrischem Verhalten, Aussehen und Sprache, begleitet von kognitiven und wahrnehmungsbezogenen Verzerrungen, ungewöhnlichen Überzeugungen und Unbehagen in zwischenmenschlichen Beziehungen sowie einer oft eingeschränkten Fähigkeit dazu. Zu den Symptomen können eingeschränkter oder unangemessener Affekt und Anhedonie gehören. Paranoide Ideen, Bezugsideen oder andere psychotische Symptome, einschließlich Halluzinationen in jeder Modalität, können auftreten, sind jedoch nicht von ausreichender Intensität oder Dauer, um die diagnostischen Anforderungen einer Schizophrenie, schizoaffektiven Störung oder wahnhaften Störung zu erfüllen. Die Symptome verursachen Leiden oder Beeinträchtigungen in persönlichen, familiären, sozialen, ausbildungsbezogenen, beruflichen oder anderen wichtigen Funktionsbereichen.   	Die schizotype Störung ist eine Krankheit, bei der man sich über einen längeren Zeitraum von mehreren Jahren immer wieder in derselben Weise verhält, wie man sich aussehen, sprechen und sich verhalten soll. Diese Weise kann auch von anderen Menschen nicht verstanden werden. Man hat auch schwierige Vorstellungen über die Welt oder andere Menschen und kann sich in zwischenmenschlichen Kontakten unwohl fühlen. Man hat auch Schwierigkeiten, sich zu äußern oder sich zu fühlen. Man kann auch schwere Vorstellungen haben oder andere Menschen oder Dinge sehen, die nicht da sind. Diese Vorstellungen oder Dinge können sehr stark sein, aber sie sind nicht so stark, dass sie die Diagnostik für eine Schizophrenie oder eine schizoaffektive oder wahnhafte Störung erfüllen
